('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487371 function calls (469633 primitive calls) in 3.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      710    3.002    0.004    3.002    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.080    0.080    0.080    0.080 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.075    0.075    0.075    0.075 {method 'connect' of '_socket.socket' objects}
 3098/167    0.023    0.000    0.061    0.000 sre_parse.py:494(_parse)
 3761/160    0.013    0.000    0.029    0.000 sre_compile.py:87(_compile)
     1263    0.012    0.000    0.057    0.000 parser.py:300(parse_starttag)
    11986    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
        2    0.008    0.004    0.092    0.046 parser.py:133(goahead)
      104    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    19545    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
      766    0.006    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
     1264    0.006    0.000    0.015    0.000 element.py:1180(__init__)
    21847    0.005    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
        1    0.005    0.005    0.005    0.005 dammit.py:677(_to_unicode)
    47976    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
49866/45353    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 3722/293    0.005    0.000    0.006    0.000 sre_parse.py:175(getwidth)
    56098    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
 1114/161    0.004    0.000    0.062    0.000 sre_parse.py:436(_parse_sub)
      760    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x95bbc0}
     1263    0.004    0.000    0.023    0.000 __init__.py:694(handle_starttag)
      344    0.004    0.000    0.072    0.000 {built-in method builtins.__build_class__}
     1263    0.004    0.000    0.029    0.000 _htmlparser.py:122(handle_starttag)
      955    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     3699    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
        1    0.003    0.003    0.025    0.025 dammit.py:70(_populate_class_variables)
    12548    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
      710    0.003    0.000    3.008    0.004 ssl.py:1263(recv_into)
      710    0.003    0.000    3.014    0.004 socket.py:691(readinto)
     1195    0.003    0.000    0.016    0.000 parser.py:385(parse_endtag)
     1264    0.003    0.000    0.003    0.000 __init__.py:544(pushTag)
     1263    0.003    0.000    0.006    0.000 __init__.py:660(_popToTag)
      106    0.003    0.000    2.575    0.024 {method 'read' of '_io.BufferedReader' objects}
     4924    0.003    0.000    0.004    0.000 _markupbase.py:44(updatepos)
     2114    0.002    0.000    0.002    0.000 element.py:157(setup)
     9804    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
      710    0.002    0.000    3.004    0.004 ssl.py:1121(read)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     1263    0.002    0.000    0.007    0.000 element.py:2096(search_tag)
     1263    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     2531    0.002    0.000    0.006    0.000 __init__.py:558(endData)
      542    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     5319    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      811    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     9033    0.002    0.000    0.002    0.000 sre_parse.py:161(__len__)
     2917    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     1263    0.002    0.000    0.005    0.000 parser.py:351(check_for_whole_start_tag)
      300    0.002    0.000    0.103    0.000 re.py:288(_compile)
    11312    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5452    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
      258    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     4419    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     9733    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      104    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     1263    0.001    0.000    0.004    0.000 element.py:2192(_matches)
      714    0.001    0.000    0.002    0.000 sre_parse.py:356(_escape)
     7491    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      833    0.001    0.000    0.002    0.000 sre_parse.py:433(_uniq)
     1688    0.001    0.000    0.009    0.000 element.py:2159(search)
     1263    0.001    0.000    0.011    0.000 __init__.py:735(handle_endtag)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
     5626    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     3815    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
  141/102    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      766    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     1263    0.001    0.000    0.012    0.000 _htmlparser.py:177(handle_endtag)
6131/4889    0.001    0.000    0.024    0.000 {built-in method builtins.hasattr}
      710    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     4082    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       24    0.001    0.000    0.011    0.000 element.py:779(_find_all)
     6342    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
      105    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      255    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      990    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      710    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      160    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      160    0.001    0.000    0.100    0.001 sre_compile.py:783(compile)
      711    0.001    0.000    0.001    0.000 socket.py:730(readable)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     1263    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      425    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
     1389    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1389    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1312    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
     1353    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      104    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3392    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      305    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
       11    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
     1258    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
    142/3    0.001    0.000    0.172    0.057 <frozen importlib._bootstrap>:1022(_find_and_load)
     7263    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       23    0.001    0.000    0.001    0.000 _policybase.py:311(header_fetch_parse)
      208    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     1264    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     3609    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     1423    0.001    0.000    0.001    0.000 ssl.py:1109(_checkClosed)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
      907    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
     1855    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      425    0.001    0.000    0.002    0.000 element.py:934(__new__)
      160    0.001    0.000    0.063    0.000 sre_parse.py:944(parse)
     2182    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3609    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      255    0.001    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
     1264    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2606    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      125    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    129/3    0.000    0.000    0.172    0.057 <frozen importlib._bootstrap>:664(_load_unlocked)
      833    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      365    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      129    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     2017    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      731    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
     1341    0.000    0.000    0.001    0.000 element.py:1489(get)
      531    0.000    0.000    0.004    0.000 enum.py:359(__call__)
    142/3    0.000    0.000    0.172    0.057 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     3791    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1263    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2477    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      160    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
     1451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      160    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      425    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
