('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487401 function calls (469663 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56098    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
49869/45356    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    47976    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
    21847    0.005    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
    19545    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
    12548    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
    11986    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
    11312    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     9804    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
     9733    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     9033    0.002    0.000    0.002    0.000 sre_parse.py:161(__len__)
     7491    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     7263    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6342    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
6131/4889    0.001    0.000    0.027    0.000 {built-in method builtins.hasattr}
     5626    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5452    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
     5319    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4924    0.003    0.000    0.004    0.000 _markupbase.py:44(updatepos)
     4419    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     4082    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3815    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     3791    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
 3761/160    0.012    0.000    0.028    0.000 sre_compile.py:87(_compile)
 3722/293    0.005    0.000    0.006    0.000 sre_parse.py:175(getwidth)
     3699    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3609    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3609    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     3392    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
 3098/167    0.022    0.000    0.059    0.000 sre_parse.py:494(_parse)
     3006    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2917    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2622    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     2606    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     2531    0.002    0.000    0.006    0.000 __init__.py:558(endData)
     2477    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2255    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2197    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2182    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2114    0.003    0.000    0.003    0.000 element.py:157(setup)
     2017    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     1855    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1690    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1688    0.001    0.000    0.009    0.000 element.py:2159(search)
     1626    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
